41
(-5, -2.72598, 0)
(-4.75, -2.14742, 0)
(-4.5, -1.60191, 0)
(-4.25, -1.08945, 0)
(-4, -0.610049, 0)
(-3.75, -0.1637, 0)
(-3.5, 0.249595, 0)
(-3.25, 0.629836, 0)
(-3, 0.977023, 0)
(-2.75, 1.29116, 0)
(-2.5, 1.57223, 0)
(-2.25, 1.82026, 0)
(-2, 2.03523, 0)
(-1.75, 2.21715, 0)
(-1.5, 2.36601, 0)
(-1.25, 2.48182, 0)
(-1, 2.56458, 0)
(-0.75, 2.61428, 0)
(-0.5, 2.63093, 0)
(-0.25, 2.61452, 0)
(0, 2.56506, 0)
(0.25, 2.48255, 0)
(0.5, 2.36698, 0)
(0.75, 2.21836, 0)
(1, 2.03668, 0)
(1.25, 1.82195, 0)
(1.5, 1.57417, 0)
(1.75, 1.29333, 0)
(2, 0.979442, 0)
(2.25, 0.632497, 0)
(2.5, 0.252498, 0)
(2.75, -0.160555, 0)
(3, -0.606662, 0)
(3.25, -1.08582, 0)
(3.5, -1.59804, 0)
(3.75, -2.14331, 0)
(4, -2.72163, 0)
(4.25, -3.333, 0)
(4.5, -3.97743, 0)
(4.75, -4.65492, 0)
